timestamp,accX,accY,accZ,anvX,anvY,anvZ
33800,0.26,-12.96,-0.98,-0.22,-0.21,0.61
33900,-0.96,-10.49,-1.05,-0.14,0,0.01
34000,-0.97,-9.72,-0.78,0.45,0.46,-0.01
34100,-1.23,-7.47,-2.61,0.02,0.32,0.17
34200,-0.47,-8.05,-1.07,-0.03,0.05,-0.09
34300,-1.4,-9.7,-1.61,0.13,0.04,-0.14
34400,-0.28,-7.67,-2.49,-0.19,-0.07,-0.24
34500,0.22,-10.3,-2.13,0.08,0.08,0.07
34600,0.06,-12.5,-1.01,-0.3,-0.22,-0.28
34700,-0.51,-11.43,-1.71,0.12,-0.04,0.28
34800,-0.59,-9.63,-1.51,-0.21,-0.09,0.26
34900,-0.77,-9.99,-1.46,0.18,-0.34,0.17
35000,-0.76,-9.36,-2.43,0.74,-0.69,-0.26
35100,-0.89,-8.09,-0.69,-0.19,-0.01,-0.11
35200,-0.04,-10.14,-1.02,-0.08,0.29,-0.73
35300,0.03,-9.9,-0.75,-0.75,-0.02,-0.11
35400,-0.21,-9.72,-0.65,-0.33,-0.09,-0.09
35500,0.62,-11.27,-2.34,0.05,-0.04,-0.21
35600,-0.03,-11.05,-1.45,-0.27,-0.07,-0.34
35700,0.36,-10.15,-3.12,-0.16,-0.17,0.25
35800,0.35,-12.07,-1.88,0.09,-0.07,0.3
35900,-0.14,-10.91,-2.52,-0.05,-0.17,0.2
36000,-0.86,-8.95,-2.92,-0.03,-0.42,0.4
36100,-1.02,-7.63,-3.17,-0.29,-0.87,0.29
36200,-0.78,-8.63,-1.92,-0.61,-1.13,-0.22
36300,-0.68,-10.05,-2.63,-0.53,-0.66,-0.57
36400,-0.06,-9.12,-3.15,-0.2,0,-0.06
36500,-0.47,-10.24,-1.98,-0.38,-0.25,-0.39
36600,-0.42,-10.84,-2.19,-0.26,-0.25,-0.53
36700,-0.11,-11.49,-2.83,-0.1,-0.37,-0.33
36800,0.58,-13.27,-2.58,0.17,-0.06,0.38
36900,-0.35,-10.09,-2.79,0.33,-0.02,0.25
37000,-0.7,-9.16,-3.75,0.18,-0.06,-0.09
37100,-1.51,-8.44,-2.81,-0.18,-0.18,-0.01
37200,-1.15,-8.6,-1.76,0.1,0.02,-0.06
37300,-0.6,-8.91,-1.4,-0.05,-0.03,0.1
37400,-0.3,-9.63,-0.85,0.24,-0.02,-0.02
